dataset,reference_seed,shot,contrast,contrast_group,metric,method,reference,point_delta,mean_delta,ci_low,ci_high,fraction_below_zero,n_replicates,multiple_comparison_adjusted
btad,1,4,DUP_EXPECTED_J - DUP_J,equivalence_control,pixel_auroc,DUP_EXPECTED_J,DUP_J,0.0,0.0,0.0,0.0,0.0,1000,False
btad,1,4,DUP_J - A1_J,weight,pixel_ap,DUP_J,A1_J,-0.013903629196346468,-0.014061343229047708,-0.01974564513630649,-0.009158685866647993,1.0,1000,False
btad,1,4,A1_L - DUP_L,weight,pixel_ap,A1_L,DUP_L,0.014544058612089295,0.01467001094316308,0.009904775873375713,0.020242330026302296,0.0,1000,False
btad,1,4,A1_L - A1_J,matching,pixel_ap,A1_L,A1_J,0.005389489116730317,0.0054198432948899524,0.003877353168188935,0.007150515922582642,0.0,1000,False
btad,1,4,DUP_L - DUP_J,matching,pixel_ap,DUP_L,DUP_J,0.00474905970098749,0.004811175580774581,0.0035085530266665997,0.00614641742655006,0.0,1000,False
btad,1,4,DUP_BAL_J - A1_J,equivalence_control,pixel_ap,DUP_BAL_J,A1_J,0.0,0.0,0.0,0.0,0.0,1000,False
btad,1,4,DUP_BAL_L - A1_L,equivalence_control,pixel_ap,DUP_BAL_L,A1_L,0.0,0.0,0.0,0.0,0.0,1000,False
btad,1,4,DUP_EXPECTED_J - DUP_J,equivalence_control,pixel_ap,DUP_EXPECTED_J,DUP_J,0.0,0.0,0.0,0.0,0.0,1000,False
btad,1,4,DUP_J - A1_J,weight,image_auroc,DUP_J,A1_J,-0.0014987852283770975,-0.0015233078704264486,-0.01078871720251301,0.0063130885492279345,0.631,1000,False
btad,1,4,A1_L - DUP_L,weight,image_auroc,A1_L,DUP_L,0.002526967930029267,0.0026301166195008547,-0.0031929940749098606,0.008478539793865762,0.17,1000,False
btad,1,4,A1_L - A1_J,matching,image_auroc,A1_L,A1_J,0.007220602526725073,0.00734717246687984,-0.005216758179473813,0.023229385268258216,0.149,1000,False
btad,1,4,DUP_L - DUP_J,matching,image_auroc,DUP_L,DUP_J,0.0061924198250729034,0.006240363717805435,-0.005097662933844882,0.020202090093622463,0.158,1000,False
btad,1,4,DUP_BAL_J - A1_J,equivalence_control,image_auroc,DUP_BAL_J,A1_J,0.0,0.0,0.0,0.0,0.0,1000,False
btad,1,4,DUP_BAL_L - A1_L,equivalence_control,image_auroc,DUP_BAL_L,A1_L,0.0,0.0,0.0,0.0,0.0,1000,False
btad,1,4,DUP_EXPECTED_J - DUP_J,equivalence_control,image_auroc,DUP_EXPECTED_J,DUP_J,0.0,0.0,0.0,0.0,0.0,1000,False
btad,1,4,DUP_J - A1_J,weight,image_ap,DUP_J,A1_J,-0.0006228852406485741,-0.0006414921268537319,-0.0028684488015298824,0.0010323276180718623,0.731,1000,False
btad,1,4,A1_L - DUP_L,weight,image_ap,A1_L,DUP_L,0.0007967489278013495,0.0008177568169518214,-0.0006219337221799043,0.0027873441074856204,0.14,1000,False
btad,1,4,A1_L - A1_J,matching,image_ap,A1_L,A1_J,0.001831495813288675,0.0018432819677044847,-0.0009501845081081595,0.005597216317559372,0.108,1000,False
btad,1,4,DUP_L - DUP_J,matching,image_ap,DUP_L,DUP_J,0.0016576321261358995,0.001667017277606395,-0.0013978125315389166,0.0055204047407635855,0.148,1000,False
btad,1,4,DUP_BAL_J - A1_J,equivalence_control,image_ap,DUP_BAL_J,A1_J,0.0,0.0,0.0,0.0,0.0,1000,False
btad,1,4,DUP_BAL_L - A1_L,equivalence_control,image_ap,DUP_BAL_L,A1_L,0.0,0.0,0.0,0.0,0.0,1000,False
btad,1,4,DUP_EXPECTED_J - DUP_J,equivalence_control,image_ap,DUP_EXPECTED_J,DUP_J,0.0,0.0,0.0,0.0,0.0,1000,False
