shot,method,category,pixel_auroc,pixel_ap,image_auroc,image_ap
2,BAL_lambda_0.75,metal_plate,0.9815852836275731,0.9014973184997704,1.0,1.0
2,BAL_lambda_0.75,tubes,0.987562949052325,0.7020608075404978,0.9710144927536232,0.9880152088045907
4,B,bracket_black,0.9712617780864254,0.16322632233656506,0.785904255319149,0.8645016779101693
4,B,bracket_brown,0.887182193669322,0.040327243259799354,0.5150829562594268,0.6645723235428355
4,B,bracket_white,0.9951661700888524,0.09199013846769115,0.7811111111111111,0.7449981366874827
4,B,connector,0.9735610440604037,0.34592197608072994,0.9166666666666666,0.8105254081757841
4,B,metal_plate,0.9541391892877344,0.806219805948695,0.9994582881906826,0.9998043818466353
4,B,tubes,0.9869050049093973,0.7242162845507976,0.957427536231884,0.9825227128185924
4,S,bracket_black,0.9690521295910185,0.1317009625330275,0.6688829787234043,0.7822799828088495
4,S,bracket_brown,0.9352839142227739,0.046818777616311015,0.530920060331825,0.6888227415054772
4,S,bracket_white,0.9956779742839408,0.10416485177295358,0.7822222222222223,0.747793077997438
4,S,connector,0.9693903854474528,0.2069957024738037,0.7928571428571428,0.6263725237569775
4,S,metal_plate,0.9747075380959287,0.8750971014413726,0.9978331527627302,0.9992006779740839
4,S,tubes,0.9779642269012708,0.6074576113215653,0.9370471014492754,0.9735127748042778
4,C,bracket_black,0.9635314842040669,0.023367972115044284,0.4900265957446808,0.5698069988323089
4,C,bracket_brown,0.9251645372427428,0.0284876142585248,0.6304675716440422,0.738840929281884
4,C,bracket_white,0.9929238743181971,0.04177940382943392,0.7622222222222222,0.7258963151538405
4,C,connector,0.9696396746234693,0.16636450881677345,0.8285714285714286,0.7281930536986254
4,C,metal_plate,0.990644029331812,0.9425642721978167,1.0,1.0
4,C,tubes,0.977324045163586,0.5033104827470739,0.8890398550724637,0.9505372570544657
4,A1_J,bracket_black,0.9740838470124177,0.18559149428133032,0.7972074468085106,0.8699851276988307
4,A1_J,bracket_brown,0.9060588741282166,0.033952103093274184,0.5731523378582202,0.7250777918550068
