method,pixel_auroc,pixel_ap,pixel_aupro,image_auroc,image_ap,image_f1_max
TRI_J__perm_C_cross_p08,0.9214946604529287,0.035998943807284786,0.8188474580913473,0.5512820512820513,0.7101215840603247,0.8166666666666667
TRI_J__perm_S_cross_p08,0.9252126582231277,0.03537127935939184,0.8241451587676845,0.5301659125188537,0.7132486244613515,0.8
BAL_J__perm_C_cross_p08,0.9246499973684077,0.03393429198005853,0.817996265860393,0.5399698340874811,0.696494997648663,0.823529411764706
BAL_J__perm_S_cross_p08,0.92421016321893,0.03281298774533839,0.8257675327061629,0.5641025641025641,0.7285978897361743,0.8
A1_J__perm_C_within_p09,0.9365504359293721,0.03873427846020821,0.8489165113203012,0.5535444947209653,0.6903123411235761,0.8135593220338982
TRI_J__perm_C_within_p09,0.9397587440540037,0.041716834819808285,0.8509692053496831,0.5558069381598794,0.6985812230303948,0.8264462809917354
TRI_J__perm_S_within_p09,0.9213777058799998,0.04406693152168252,0.8786578572546645,0.48340874811463047,0.6441047787753377,0.796875
BAL_J__perm_C_within_p09,0.940053584198757,0.04112719959020579,0.8527298029975436,0.5384615384615385,0.6968945128850995,0.8166666666666667
BAL_J__perm_S_within_p09,0.9235300692506283,0.04297103612400319,0.8753849360344516,0.4886877828054299,0.6535880084209776,0.796875
A1_J__perm_C_cross_p09,0.9057244314080057,0.03169648968336345,0.7945266835868675,0.5761689291101055,0.7147744201498591,0.8160000000000001
TRI_J__perm_C_cross_p09,0.9166513638517279,0.035744643650399435,0.810414508259933,0.588235294117647,0.7285545263912208,0.8292682926829268
TRI_J__perm_S_cross_p09,0.9216621554010171,0.03632198531855156,0.8116054828311657,0.5475113122171946,0.711407201747785,0.8225806451612903
BAL_J__perm_C_cross_p09,0.9190950726857685,0.033365747383706644,0.81447437014556,0.5852187028657616,0.729979676404473,0.8160000000000001
BAL_J__perm_S_cross_p09,0.9225041391001989,0.03417714579061359,0.8158444470327697,0.5739064856711915,0.7345707505254022,0.8160000000000001
A1_L,0.9142032528249885,0.03746346803234922,0.8149740867659238,0.5769230769230769,0.7320996198772781,0.8031496062992126
TRI_L,0.927289013704493,0.04250927061968248,0.8304883370273066,0.5731523378582202,0.7291641187372002,0.8095238095238095
BAL_L,0.9310631074971111,0.04012588036208126,0.8261332701546328,0.5965309200603318,0.747835941729821,0.8160000000000001
A1_lambda_0.25,0.9127951936642773,0.036703504074843164,0.8120428731842472,0.5769230769230769,0.7279674104876278,0.8095238095238095
A1_lambda_0.50,0.9109268908812271,0.03585345199867345,0.8077584390642971,0.5716440422322775,0.7182409236487136,0.8095238095238095
A1_lambda_0.75,0.9086594241845776,0.03490266107759704,0.8029450463825472,0.5731523378582202,0.7248511225721204,0.8095238095238095
TRI_lambda_0.25,0.9255695446906085,0.0415498163245583,0.8254350703357781,0.5708898944193062,0.7231850562611386,0.8099173553719008
TRI_lambda_0.50,0.923350917738591,0.04051989449864892,0.8195186173322575,0.572398190045249,0.7228690832929068,0.8099173553719008
TRI_lambda_0.75,0.9206872403533268,0.03944962868606837,0.8119385989880961,0.5784313725490197,0.7271638633486044,0.8166666666666667
BAL_lambda_0.25,0.9290890948932043,0.03904558920392285,0.8248989763500766,0.5950226244343891,0.7400066260162178,0.8160000000000001
BAL_lambda_0.50,0.9265398154154691,0.037910541949314,0.8227298985104443,0.5942684766214178,0.740848490166366,0.8225806451612903
BAL_lambda_0.75,0.9235052556785321,0.036725383198612085,0.819028230335657,0.5965309200603319,0.7355664231499135,0.8225806451612903
