method,dataset,seed,shot,category,frame,pixel_ap,pixel_auroc,pixel_ap_stride8,native_map_size,resampled_to_canvas,evaluation_revision,note,source,sample_id_order_identical
PatchCore_native_official224,mpdd,0,4,connector,canvas grid*14 (448x448),0.15753310226880554,0.9660899660371999,0.1535219219545172,224x224,True,,prediction maps resampled from the method's native resolution; not a re-run at canvas resolution,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout_official224\mpdd_official224\mpdd_s0_k4\predictions\mvtec_connector.npz,True
PatchCore_native_official224,mpdd,0,4,metal_plate,canvas grid*14 (448x448),0.7990616234561699,0.9720309367183765,0.7983332897797668,224x224,True,,prediction maps resampled from the method's native resolution; not a re-run at canvas resolution,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout_official224\mpdd_official224\mpdd_s0_k4\predictions\mvtec_metal_plate.npz,True
PatchCore_native_official224,mpdd,0,4,tubes,canvas grid*14 (448x448),0.2607758359193473,0.9691381161844732,0.26481490119154416,224x224,True,,prediction maps resampled from the method's native resolution; not a re-run at canvas resolution,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout_official224\mpdd_official224\mpdd_s0_k4\predictions\mvtec_tubes.npz,True
PatchCore_native_official224,mpdd,1,1,bracket_black,canvas grid*14 (448x448),0.009809428722686656,0.9188855192249863,0.009945257134419547,224x224,True,,prediction maps resampled from the method's native resolution; not a re-run at canvas resolution,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout_official224\mpdd_official224\mpdd_s1_k1\predictions\mvtec_bracket_black.npz,True
PatchCore_native_official224,mpdd,1,1,bracket_brown,canvas grid*14 (448x448),0.03650580530249939,0.9337081831528089,0.03588422771264531,224x224,True,,prediction maps resampled from the method's native resolution; not a re-run at canvas resolution,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout_official224\mpdd_official224\mpdd_s1_k1\predictions\mvtec_bracket_brown.npz,True
PatchCore_native_official224,mpdd,1,1,bracket_white,canvas grid*14 (448x448),0.003693971148017881,0.9615900163631882,0.003363155986978496,224x224,True,,prediction maps resampled from the method's native resolution; not a re-run at canvas resolution,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout_official224\mpdd_official224\mpdd_s1_k1\predictions\mvtec_bracket_white.npz,True
PatchCore_native_official224,mpdd,1,1,connector,canvas grid*14 (448x448),0.08448289630310869,0.9313993662268526,0.08271159323259972,224x224,True,,prediction maps resampled from the method's native resolution; not a re-run at canvas resolution,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout_official224\mpdd_official224\mpdd_s1_k1\predictions\mvtec_connector.npz,True
PatchCore_native_official224,mpdd,1,1,metal_plate,canvas grid*14 (448x448),0.558758268017484,0.9325384944338652,0.5581245571152553,224x224,True,,prediction maps resampled from the method's native resolution; not a re-run at canvas resolution,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout_official224\mpdd_official224\mpdd_s1_k1\predictions\mvtec_metal_plate.npz,True
PatchCore_native_official224,mpdd,1,1,tubes,canvas grid*14 (448x448),0.05182135093790082,0.9166438346794635,0.052539420892827524,224x224,True,,prediction maps resampled from the method's native resolution; not a re-run at canvas resolution,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout_official224\mpdd_official224\mpdd_s1_k1\predictions\mvtec_tubes.npz,True
PatchCore_native_official224,mpdd,1,4,bracket_black,canvas grid*14 (448x448),0.01032926233428975,0.9120106062872455,0.010172811058721344,224x224,True,,prediction maps resampled from the method's native resolution; not a re-run at canvas resolution,D:\STUDY\My_github\sci_project\outputs\patchcore\closeout_official224\mpdd_official224\mpdd_s1_k4\predictions\mvtec_bracket_black.npz,True
