dataset,seed,shot,method,category,pixel_ap,pixel_auroc,image_ap,image_auroc
mpdd,0,2,TRI_J,tubes,0.6857817596755266,0.9852678947089637,0.9859819078168266,0.9664855072463768
mpdd,0,2,BAL_J,bracket_black,0.013042686377683695,0.9457638986359859,0.561077603905514,0.4720744680851064
mpdd,0,2,BAL_J,bracket_brown,0.03529768097625927,0.9188949816837326,0.7542956958361291,0.5761689291101055
mpdd,0,2,BAL_J,bracket_white,0.12774249417456804,0.9963380038968821,0.8599429025339121,0.8577777777777778
mpdd,0,2,BAL_J,connector,0.244841404360583,0.9683445813693149,0.5288753152153558,0.7452380952380953
mpdd,0,2,BAL_J,metal_plate,0.9018831083487994,0.9810985446316902,1.0,1.0
mpdd,0,2,BAL_J,tubes,0.6955088452568521,0.986530746370062,0.9845233443442352,0.9615036231884058
mpdd,0,2,DUP_J,bracket_black,0.020066580275830036,0.9502955942261514,0.5824820692923546,0.4753989361702128
mpdd,0,2,DUP_J,bracket_brown,0.035321624487028414,0.8951119688084839,0.7149788611545352,0.5150829562594268
mpdd,0,2,DUP_J,bracket_white,0.10061822938074788,0.9952586409917331,0.7518960630688916,0.7966666666666666
mpdd,0,2,DUP_J,connector,0.2970662732369497,0.9672984911301529,0.5393737653444031,0.780952380952381
mpdd,0,2,DUP_J,metal_plate,0.838335574914576,0.9668541575246051,1.0,1.0
mpdd,0,2,DUP_J,tubes,0.7201235122801674,0.9869009252637548,0.9852144535158037,0.9651268115942029
mpdd,0,2,DUP_BAL_J,bracket_black,0.01464220954703266,0.9498238120973826,0.561718394831281,0.4607712765957447
mpdd,0,2,DUP_BAL_J,bracket_brown,0.03336958537076313,0.9039260470367484,0.7598400574200704,0.5708898944193062
mpdd,0,2,DUP_BAL_J,bracket_white,0.10598851655794717,0.9959438899418237,0.8071000882339985,0.8266666666666667
mpdd,0,2,DUP_BAL_J,connector,0.2991109692986026,0.9694350265671895,0.6124756244175316,0.7928571428571428
mpdd,0,2,DUP_BAL_J,metal_plate,0.8783905814375256,0.9764867677836552,1.0,1.0
mpdd,0,2,DUP_BAL_J,tubes,0.7307357567288589,0.9881148125573069,0.9857863842897305,0.9660326086956522
mpdd,0,2,DUP_EXPECTED_J,bracket_black,0.020066580275830036,0.9502955942261514,0.5824820692923546,0.4753989361702128
mpdd,0,2,DUP_EXPECTED_J,bracket_brown,0.035321624487028414,0.8951119688084839,0.7149788611545352,0.5150829562594268
mpdd,0,2,DUP_EXPECTED_J,bracket_white,0.10061822938074788,0.9952586409917331,0.7518960630688916,0.7966666666666666
mpdd,0,2,DUP_EXPECTED_J,connector,0.2970662732369497,0.9672984911301529,0.5393737653444031,0.780952380952381
mpdd,0,2,DUP_EXPECTED_J,metal_plate,0.838335574914576,0.9668541575246051,1.0,1.0
mpdd,0,2,DUP_EXPECTED_J,tubes,0.7201235122801674,0.9869009252637548,0.9852144535158037,0.9651268115942029
mpdd,0,2,A1_L,bracket_black,0.014433757820523276,0.9487041380271776,0.5603113531911077,0.45279255319148937
mpdd,0,2,A1_L,bracket_brown,0.03909908988890987,0.9123518896184327,0.7371496498349855,0.552790346907994
mpdd,0,2,A1_L,bracket_white,0.10841576102443233,0.9956621503861216,0.7861102519232802,0.8077777777777778
mpdd,0,2,A1_L,connector,0.32786433842767515,0.9747197434318414,0.6355253484455166,0.8166666666666667
mpdd,0,2,A1_L,metal_plate,0.8668162264424873,0.9760269199089486,1.0,1.0
mpdd,0,2,A1_L,tubes,0.7387076137952736,0.9898790838224152,0.984160175352663,0.9592391304347826
mpdd,0,2,DUP_L,bracket_black,0.02002968650924617,0.9493912107520761,0.5785204463679563,0.4621010638297872
mpdd,0,2,DUP_L,bracket_brown,0.038977920642380946,0.9011379319229288,0.7016401944694094,0.5113122171945701
mpdd,0,2,DUP_L,bracket_white,0.0991401628376623,0.995089893956396,0.7465139258418094,0.7888888888888889
mpdd,0,2,DUP_L,connector,0.31021668632325156,0.9713146180208188,0.5621035783467725,0.7952380952380952
mpdd,0,2,DUP_L,metal_plate,0.826486488863461,0.9655122718839328,1.0,1.0
mpdd,0,2,DUP_L,tubes,0.7230803692747243,0.9879611639653852,0.9830262173660651,0.9569746376811594
mpdd,0,2,TRI_L,bracket_black,0.01844417026916407,0.9466915053820611,0.5793580740287998,0.4753989361702128
mpdd,0,2,TRI_L,bracket_brown,0.04145489777930542,0.9233213416384044,0.7472038744112678,0.5444947209653092
mpdd,0,2,TRI_L,bracket_white,0.14142741366720624,0.9958290430584331,0.8065875634456957,0.8144444444444444
mpdd,0,2,TRI_L,connector,0.2753400875429795,0.9735264710393597,0.5295378680459326,0.7571428571428571
mpdd,0,2,TRI_L,metal_plate,0.8677784757756756,0.9752440153949494,1.0,1.0
mpdd,0,2,TRI_L,tubes,0.7000155292813017,0.9882130195899892,0.9871828163996819,0.96875
mpdd,0,2,BAL_L,bracket_black,0.012632746575607878,0.9458136215626587,0.5580177388137726,0.4541223404255319
mpdd,0,2,BAL_L,bracket_brown,0.04017310202901004,0.9279971032542514,0.7586885658644603,0.5716440422322775
mpdd,0,2,BAL_L,bracket_white,0.1336455158380586,0.9962433077583706,0.8359471703211829,0.8366666666666667
mpdd,0,2,BAL_L,connector,0.2800657964821751,0.9760329172933593,0.5439560752530678,0.7666666666666667
mpdd,0,2,BAL_L,metal_plate,0.8974876531142773,0.9824042562813977,1.0,1.0
mpdd,0,2,BAL_L,tubes,0.7160805188965034,0.9899188385099856,0.9883041119802366,0.9710144927536232
mpdd,0,4,B,bracket_black,0.1632263223365651,0.9712617780864254,0.8645016779101693,0.785904255319149
mpdd,0,4,B,bracket_brown,0.04032724325979936,0.8871821803235668,0.6645723235428355,0.5150829562594268
mpdd,0,4,B,bracket_white,0.09199013846769115,0.9951661700888524,0.7449981366874827,0.7811111111111111
mpdd,0,4,B,connector,0.34592198703027827,0.973561048829754,0.8105254081757841,0.9166666666666666
mpdd,0,4,B,metal_plate,0.8062198201925955,0.9541391922987036,0.9998043818466353,0.9994582881906826
mpdd,0,4,B,tubes,0.7242163034521539,0.9869050061408026,0.9825227128185924,0.957427536231884
mpdd,0,4,S,bracket_black,0.13170096290669087,0.9690521380790565,0.7822799828088495,0.6688829787234043
mpdd,0,4,S,bracket_brown,0.04681877761631101,0.9352839085031645,0.6888227415054772,0.530920060331825
mpdd,0,4,S,bracket_white,0.10416485177295358,0.9956779742839408,0.747793077997438,0.7822222222222223
mpdd,0,4,S,connector,0.20699571516079743,0.9693903949861536,0.6263725237569775,0.7928571428571428
mpdd,0,4,S,metal_plate,0.8750971172902827,0.9747075397052397,0.9992006779740839,0.9978331527627302
mpdd,0,4,S,tubes,0.6074576252481387,0.9779642269012708,0.9735127748042778,0.9370471014492754
mpdd,0,4,C,bracket_black,0.023367972115044284,0.9635314842040669,0.5698069988323089,0.4900265957446808
mpdd,0,4,C,bracket_brown,0.02848761516682708,0.9251645353362064,0.738840929281884,0.6304675716440422
mpdd,0,4,C,bracket_white,0.04177940382943392,0.9929238743181971,0.7258963151538405,0.7622222222222222
mpdd,0,4,C,connector,0.16636451446354353,0.9696396793928197,0.7281930536986254,0.8285714285714286
mpdd,0,4,C,metal_plate,0.9425642911084673,0.9906440304219905,1.0,1.0
mpdd,0,4,C,tubes,0.5033106798076344,0.977324045163586,0.9505372570544657,0.8890398550724637
mpdd,0,4,A1_J,bracket_black,0.18559149428133032,0.9740838470124177,0.8699851276988307,0.7972074468085106
mpdd,0,4,A1_J,bracket_brown,0.03395186319759828,0.9060588703151438,0.7250777918550068,0.5731523378582202
